,word,code
0,абажур,1.1.3.2.3.5.3.3.
1,абажурчик,1.1.3.2.3.5.3.3.
2,абазинка,1.1.1.2.1.1.2.2.1.2.
3,абазины,1.1.1.2.1.1.2.2.1.2.
4,аббат,1.1.1.2.1.1.1.2.4.2.1.1.
5,аббатиса,1.1.1.2.1.1.1.2.4.2.1.1.
6,аббатство,1.1.3.2.2.2.1.
7,аббатство,1.1.3.3.1.3.2.2.
8,аббревиатура,1.2.1.5.2.1.2.1.2.3.1.3.3.
9,абзац,1.1.3.2.9.2.2.2.
10,абзац,1.2.1.5.2.2.3.1.
11,абиссинка,1.1.1.2.1.1.2.2.1.2.
12,абиссинцы,1.1.1.2.1.1.2.2.1.2.
13,абитуриент,1.1.1.2.1.1.1.2.4.2.4.4.3.4.
14,абитуриентка,1.1.1.2.1.1.1.2.4.2.4.4.3.4.
15,абонемент,1.1.3.2.10.3.3.5.2.
16,абонент,1.1.1.2.1.1.1.2.3.3.2.5.
17,абонентка,1.1.1.2.1.1.1.2.3.3.2.5.
18,абонировать,2.3.5.2.4.6.2.3.
19,абордаж,1.2.1.6.3.3.1.2.2.
20,абориген,1.1.1.1.1.2.
21,абориген,1.1.1.2.1.1.1.2.1.2.2.
22,аборигенка,1.1.1.2.1.1.1.2.1.2.2.
23,аборт,1.2.1.6.4.3.2.2.2.
24,абортировать,2.3.5.2.4.3.2.3.
25,абразив,1.1.3.2.6.5.1.3.
26,абракадабра,1.2.1.4.2.2.1.1.4.
27,абрек,1.1.1.2.1.1.1.2.4.2.6.6.
28,абрикос,1.1.1.3.1.2.1.2.1.2.1.3.
29,абрикос,1.1.3.2.7.1.1.2.2.10.3.1.2.
30,абрикосик,1.1.1.3.1.2.1.2.1.2.1.3.
31,абрикосик,1.1.3.2.7.1.1.2.2.10.3.1.2.
32,абрикотин,1.1.3.2.7.1.1.2.2.8.2.
33,абрис,1.2.1.1.4.1.2.1.
34,абсентеизм,1.2.1.6.3.2.2.4.
35,абсолют,1.2.1.2.1.1.7.1.
36,абсолют,1.2.1.2.2.1.
37,абсолютизм,1.2.1.6.2.2.3.
38,абстрагировать,2.3.2.1.2.1.
39,абстрагироваться,2.3.2.1.2.1.
40,абстракционизм,1.2.1.5.2.1.3.1.2.
41,абстракционист,1.1.1.2.1.1.1.2.2.1.2.2.3.
42,абстракционистка,1.1.1.2.1.1.1.2.2.1.2.2.3.
43,абстракция,1.2.1.3.1.2.3.1.1.
44,абсурд,1.2.1.2.1.2.3.3.
45,абсурдизм,1.2.1.5.2.1.3.1.2.
46,абсурдность,1.2.1.2.1.2.3.3.
47,абсцесс,1.1.1.2.4.4.2.1.1.2.
48,абхазка,1.1.1.2.1.1.2.2.1.2.
49,абхазцы,1.1.1.2.1.1.2.2.1.2.
50,абхазы,1.1.1.2.1.1.2.2.1.2.
51,аваль,1.1.3.2.10.2.1.2.
52,авангард,1.1.1.2.1.1.2.4.2.1.
53,авангард,1.1.3.3.2.3.
54,авангард,1.2.1.5.2.1.3.1.2.
55,авангардизм,1.2.1.5.2.1.3.1.2.
56,авангардист,1.1.1.2.1.1.1.2.2.1.2.2.3.
57,авангардистка,1.1.1.2.1.1.1.2.2.1.2.2.3.
58,аванзал,1.1.3.2.2.7.1.2.
59,аванложа,1.1.3.2.2.7.1.2.
60,аванпост,1.1.1.2.1.1.2.3.6.2.
61,аванс,1.1.3.2.10.2.2.3.
62,авансировать,2.3.5.2.4.6.2.1.
63,авансировать,2.4.1.3.2.7.
64,авансцена,1.1.3.2.2.7.1.2.
65,авантюризм,1.2.1.3.2.3.13.
66,авантюрист,1.1.1.2.1.1.1.2.2.2.3.1.16.
67,авантюристка,1.1.1.2.1.1.1.2.2.2.3.1.16.
68,аварийка,1.1.3.2.5.2.1.2.1.2.2.
69,аварийка,1.1.3.3.1.2.4.6.2.
70,аварийщик,1.1.1.2.1.1.1.2.4.1.2.
71,аварийщик,1.1.1.2.1.1.1.2.4.2.7.1.2.1.2.
72,аварийщица,1.1.1.2.1.1.1.2.4.1.2.
73,авария,1.2.1.1.2.4.4.
74,аварка,1.1.1.2.1.1.2.2.1.2.
75,аварцы,1.1.1.2.1.1.2.2.1.2.
76,август,1.2.1.1.3.1.1.4.4.1.
77,августинец,1.1.1.2.1.1.1.2.4.2.1.2.
78,аверс,1.1.3.2.10.2.1.1.3.1.
79,авиабаза,1.1.3.3.1.2.3.2.4.1.3.
80,авиабомба,1.1.3.2.4.1.4.2.
81,авиавокзал,1.1.3.3.1.2.3.2.4.1.2.
82,авиагавань,1.1.3.3.1.2.3.2.4.1.2.
83,авиадиспетчер,1.1.1.2.1.1.1.2.4.2.7.2.1.1.2.2.
84,авиалайнер,1.1.3.2.5.2.2.2.2.
85,авиамоделизм,1.2.1.6.4.4.1.2.4.7.1.
86,авиамоделист,1.1.1.2.1.1.1.2.4.2.8.1.2.1.1.
87,авиамодель,1.1.3.2.11.1.2.2.
88,авиамолелистка,1.1.1.2.1.1.1.2.4.2.8.1.2.1.1.
89,авианосец,1.1.3.2.5.4.4.
90,авиапассажир,1.1.1.2.1.1.1.2.4.2.7.2.3.
91,авиапассажирка,1.1.1.2.1.1.1.2.4.2.7.2.3.
92,авиапочта,1.1.3.2.10.4.1.
93,авиасалон,1.1.3.3.1.2.6.2.
94,авиаспорт,1.2.1.6.4.4.1.2.4.7.1.
95,авиастроение,1.2.1.5.2.1.2.1.3.3.
96,авиастроитель,1.1.1.2.1.1.1.2.4.2.7.1.2.1.1.
97,авиатехник,1.1.1.2.1.1.1.2.4.2.7.2.1.1.2.2.
98,авиатор,1.1.1.2.1.1.1.2.4.2.4.3.4.2.
99,авиатор,1.1.1.2.1.1.1.2.4.2.7.2.1.1.2.1.
100,авиаторша,1.1.1.2.1.1.1.2.4.2.7.2.1.1.2.1.
101,авиатранспорт,1.1.3.2.5.2.2.2.1.
102,авиация,1.1.3.2.5.2.2.2.1.
103,авиация,1.1.3.3.2.1.2.
104,авиация,1.2.1.5.2.1.2.1.3.3.
105,авизо,1.1.3.2.10.2.3.
106,ависта,1.1.3.2.10.2.1.2.
107,авитаминоз,1.2.1.1.4.2.2.3.3.2.1.1.
108,авосечка,1.1.3.2.7.3.2.2.1.2.
109,авоська,1.1.3.2.7.3.2.2.1.2.
110,аврал,1.2.1.6.4.2.1.
111,аврал,1.2.1.6.4.3.2.3.
112,австралиец,1.1.1.2.1.1.1.2.1.2.4.1.
113,австралийка,1.1.1.2.1.1.1.2.1.2.4.1.
114,австралийка,1.1.1.2.1.1.2.2.1.2.
115,австралийцы,1.1.1.2.1.1.2.2.1.2.
116,австралоид,1.1.1.2.1.1.1.2.1.1.
117,австрийка,1.1.1.2.1.1.2.2.1.2.
118,австрийцы,1.1.1.2.1.1.2.2.1.2.
119,австрияки,1.1.1.2.1.1.2.2.1.2.
120,австриячка,1.1.1.2.1.1.2.2.1.2.
121,автаркия,1.2.1.6.2.3.2.1.
122,авто,1.1.3.2.5.2.1.2.1.2.1.
123,автобаза,1.1.3.3.1.2.3.2.4.1.3.
124,автобан,1.1.3.1.4.2.2.1.
125,автобиография,1.1.3.2.10.3.3.5.1.
126,автобиография,1.2.1.5.2.2.4.2.3.2.1.2.2.
127,автоблокировка,1.1.3.2.5.3.1.2.
128,автобус,1.1.3.2.5.2.1.2.1.2.1.
129,автобусик,1.1.3.2.5.2.1.2.1.2.1.
130,автобусник,1.1.1.2.1.1.1.2.4.2.7.2.1.1.4.1.
131,автобусница,1.1.1.2.1.1.1.2.4.2.7.2.1.1.4.1.
132,автовокзал,1.1.3.1.4.3.2.
133,автовокзал,1.1.3.3.1.2.3.2.4.1.2.
134,автогонки,1.2.1.6.4.4.1.2.5.4.
135,автогонщик,1.1.1.2.1.1.1.2.4.2.8.1.2.1.1.
136,автогонщица,1.1.1.2.1.1.1.2.4.2.8.1.2.1.1.
137,автоград,1.1.3.1.2.4.1.1.1.
138,автограф,1.1.3.2.9.1.2.1.
139,автограф,1.2.1.5.2.2.2.2.
140,автодром,1.1.3.2.2.7.2.
141,автозавод,1.1.3.3.1.2.3.2.1.1.
142,автозаправка,1.1.3.2.2.5.1.
143,автозаправка,1.1.3.3.1.2.4.6.2.
144,автокар,1.1.3.2.5.2.1.2.1.2.1.
145,автокефалия,1.1.3.3.1.3.2.1.
146,автоклав,1.1.3.2.3.5.2.
147,автоколонна,1.1.3.2.5.2.1.2.1.1.
148,автоконтора,1.1.3.3.1.2.3.2.4.1.3.
149,автокормушка,1.1.3.2.3.6.10.
150,автократ,1.1.1.2.1.1.1.2.4.2.5.1.2.
151,автократия,1.2.1.6.2.2.3.
152,автол,1.1.3.2.6.5.9.
153,автолавка,1.1.3.3.1.2.4.2.1.
154,автолюбитель,1.1.1.2.1.1.1.2.4.2.8.2.2.1.2.
155,автолюбительница,1.1.1.2.1.1.1.2.4.2.8.2.2.1.2.
156,автомагазин,1.1.3.3.1.2.4.2.1.
157,автомагазин,1.1.3.3.1.2.4.2.3.
158,автомагистраль,1.1.3.1.4.2.2.1.
159,автомат,1.1.3.2.3.1.1.
160,автомат,1.1.3.2.4.1.2.1.
161,автоматизировать,2.3.5.2.4.4.3.
162,автоматизм,1.2.1.1.4.1.1.
163,автоматика,1.1.3.2.3.1.2.
164,автоматика,1.2.1.5.2.1.2.1.3.3.
165,автоматчик,1.1.1.2.1.1.1.2.4.2.6.5.
166,автоматчик,1.1.1.2.1.1.1.2.4.2.7.1.2.1.3.1.
167,автоматчица,1.1.1.2.1.1.1.2.4.2.6.5.
168,автоматчица,1.1.1.2.1.1.1.2.4.2.7.1.2.1.3.1.
169,автомашина,1.1.3.2.5.2.1.2.1.2.1.
170,автомеханик,1.1.1.2.1.1.1.2.4.2.7.2.1.1.4.2.
171,автомобилестроение,1.2.1.5.2.1.2.1.3.3.
172,автомобилестроитель,1.1.1.2.1.1.1.2.4.2.7.1.2.1.1.
173,автомобилизировать,2.3.5.2.4.4.3.
174,автомобилизм,1.2.1.6.4.4.1.2.4.7.2.
175,автомобилист,1.1.1.2.1.1.1.2.4.2.7.1.2.1.1.
176,автомобилист,1.1.1.2.1.1.1.2.4.2.7.2.1.1.4.2.
177,автомобилист,1.1.1.2.1.1.1.2.4.2.8.1.2.1.1.
178,автомобилистка,1.1.1.2.1.1.1.2.4.2.7.1.2.1.1.
179,автомобилистка,1.1.1.2.1.1.1.2.4.2.7.2.1.1.4.2.
180,автомобилистка,1.1.1.2.1.1.1.2.4.2.8.1.2.1.1.
181,автомобиль,1.1.3.2.5.2.1.2.1.2.1.
182,автомобильчик,1.1.3.2.5.2.1.2.1.2.1.
183,автомоделизм,1.2.1.6.4.4.1.2.4.7.2.
184,автомоделист,1.1.1.2.1.1.1.2.4.2.8.1.2.1.1.
185,автомоделистка,1.1.1.2.1.1.1.2.4.2.8.1.2.1.1.
186,автомодель,1.1.3.2.11.1.2.2.
187,автомототурист,1.1.1.2.1.1.1.2.4.2.8.1.2.1.1.
188,автомотриса,1.1.3.2.5.2.1.1.
189,автономия,1.2.1.6.2.2.3.
190,автономность,1.2.1.2.1.1.7.1.
191,автообъединение,1.1.3.3.1.2.3.2.1.1.
192,автоответчик,1.1.3.2.3.3.2.
193,автопарк,1.1.3.3.1.2.3.2.4.1.3.
194,автопередвижка,1.1.3.3.1.2.4.6.2.
195,автопилот,1.1.3.2.5.3.1.3.
196,автопогрузчик,1.1.3.2.3.2.2.1.3.
197,автопоезд,1.1.3.2.5.2.1.2.1.1.
198,автопоилка,1.1.3.2.3.6.10.
199,автопортрет,1.2.1.5.2.1.3.2.3.1.1.
200,автопредприятие,1.1.3.3.1.2.3.2.4.1.3.
201,автор,1.1.1.2.1.1.1.2.4.2.2.1.
202,авторалли,1.2.1.6.4.4.1.2.5.4.
203,авторемонтник,1.1.1.2.1.1.1.2.4.2.7.2.1.1.4.2.
204,авторемонтница,1.1.1.2.1.1.1.2.4.2.7.2.1.1.4.2.
205,автореферат,1.2.1.5.2.2.2.1.
206,авторизовать,2.3.5.2.4.1.1.
207,авторитаризм,1.2.1.6.2.2.3.
208,авторитет,1.1.1.2.1.1.1.2.3.3.2.2.1.
209,авторитет,1.2.1.2.1.3.5.
210,автородео,1.2.1.6.4.4.1.2.5.3.
211,авторучка,1.1.3.2.7.3.5.3.1.
212,авторша,1.1.1.2.1.1.1.2.4.2.2.1.
213,автосалон,1.1.3.3.1.2.6.2.
214,автосервис,1.1.3.3.1.2.4.6.2.
