Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
абажур;1.1.3.2.3.5.3.3.;;;;;;
абажурчик;1.1.3.2.3.5.3.3.;;;;;;
абазинка;1.1.1.2.1.1.2.2.1.2.;;;;;;
абазины;1.1.1.2.1.1.2.2.1.2.;;;;;;
аббат;1.1.1.2.1.1.1.2.4.2.1.1.;;;;;;
аббатиса;1.1.1.2.1.1.1.2.4.2.1.1.;;;;;;
аббатство;1.1.3.2.2.2.1.;1.1.3.3.1.3.2.2.;;;;;
аббревиатура;1.2.1.5.2.1.2.1.2.3.1.3.3.;;;;;;
абзац;1.1.3.2.9.2.2.2.;1.2.1.5.2.2.3.1.;;;;;
абиссинка;1.1.1.2.1.1.2.2.1.2.;;;;;;
абиссинцы;1.1.1.2.1.1.2.2.1.2.;;;;;;
абитуриент;1.1.1.2.1.1.1.2.4.2.4.4.3.4.;;;;;;
абитуриентка;1.1.1.2.1.1.1.2.4.2.4.4.3.4.;;;;;;
абонемент;1.1.3.2.10.3.3.5.2.;;;;;;
абонент;1.1.1.2.1.1.1.2.3.3.2.5.;;;;;;
абонентка;1.1.1.2.1.1.1.2.3.3.2.5.;;;;;;
абонировать;2.3.5.2.4.6.2.3.;;;;;;
абордаж;1.2.1.6.3.3.1.2.2.;;;;;;
абориген;1.1.1.1.1.2.;1.1.1.2.1.1.1.2.1.2.2.;;;;;
аборигенка;1.1.1.2.1.1.1.2.1.2.2.;;;;;;
аборт;1.2.1.6.4.3.2.2.2.;;;;;;
абортировать;2.3.5.2.4.3.2.3.;;;;;;
абразив;1.1.3.2.6.5.1.3.;;;;;;
абракадабра;1.2.1.4.2.2.1.1.4.;;;;;;
абрек;1.1.1.2.1.1.1.2.4.2.6.6.;;;;;;
абрикос;1.1.1.3.1.2.1.2.1.2.1.3.;;;;;;
абрикос;1.1.3.2.7.1.1.2.2.10.3.1.2.;;;;;;
абрикосик;1.1.1.3.1.2.1.2.1.2.1.3.;;;;;;
абрикосик;1.1.3.2.7.1.1.2.2.10.3.1.2.;;;;;;
абрикотин;1.1.3.2.7.1.1.2.2.8.2.;;;;;;
абрис;1.2.1.1.4.1.2.1.;;;;;;
абсентеизм;1.2.1.6.3.2.2.4.;;;;;;
абсолют;1.2.1.2.1.1.7.1.;1.2.1.2.2.1.;;;;;
абсолютизм;1.2.1.6.2.2.3.;;;;;;
абстрагировать;2.3.2.1.2.1.;;;;;;
абстрагироваться;2.3.2.1.2.1.;;;;;;
абстракционизм;1.2.1.5.2.1.3.1.2.;;;;;;
абстракционист;1.1.1.2.1.1.1.2.2.1.2.2.3.;;;;;;
абстракционистка;1.1.1.2.1.1.1.2.2.1.2.2.3.;;;;;;
абстракция;1.2.1.3.1.2.3.1.1.;;;;;;
абсурд;1.2.1.2.1.2.3.3.;;;;;;
абсурдизм;1.2.1.5.2.1.3.1.2.;;;;;;
абсурдность;1.2.1.2.1.2.3.3.;;;;;;
абсцесс;1.1.1.2.4.4.2.1.1.2.;;;;;;
абхазка;1.1.1.2.1.1.2.2.1.2.;;;;;;
абхазцы;1.1.1.2.1.1.2.2.1.2.;;;;;;
абхазы;1.1.1.2.1.1.2.2.1.2.;;;;;;
аваль;1.1.3.2.10.2.1.2.;;;;;;
авангард;1.1.1.2.1.1.2.4.2.1.;1.1.3.3.2.3.;;;;;
авангард;1.2.1.5.2.1.3.1.2.;;;;;;
авангардизм;1.2.1.5.2.1.3.1.2.;;;;;;
авангардист;1.1.1.2.1.1.1.2.2.1.2.2.3.;;;;;;
авангардистка;1.1.1.2.1.1.1.2.2.1.2.2.3.;;;;;;
аванзал;1.1.3.2.2.7.1.2.;;;;;;
аванложа;1.1.3.2.2.7.1.2.;;;;;;
аванпост;1.1.1.2.1.1.2.3.6.2.;;;;;;
аванс;1.1.3.2.10.2.2.3.;;;;;;
авансировать;2.3.5.2.4.6.2.1.;2.4.1.3.2.7.;;;;;
авансцена;1.1.3.2.2.7.1.2.;;;;;;
авантюризм;1.2.1.3.2.3.13.;;;;;;
авантюрист;1.1.1.2.1.1.1.2.2.2.3.1.16.;;;;;;
авантюристка;1.1.1.2.1.1.1.2.2.2.3.1.16.;;;;;;
аварийка;1.1.3.2.5.2.1.2.1.2.2.;1.1.3.3.1.2.4.6.2.;;;;;
аварийщик;1.1.1.2.1.1.1.2.4.1.2.;1.1.1.2.1.1.1.2.4.2.7.1.2.1.2.;;;;;
аварийщица;1.1.1.2.1.1.1.2.4.1.2.;;;;;;
авария;1.2.1.1.2.4.4.;;;;;;
аварка;1.1.1.2.1.1.2.2.1.2.;;;;;;
аварцы;1.1.1.2.1.1.2.2.1.2.;;;;;;
август;1.2.1.1.3.1.1.4.4.1.;;;;;;
августинец;1.1.1.2.1.1.1.2.4.2.1.2.;;;;;;
аверс;1.1.3.2.10.2.1.1.3.1.;;;;;;
авиабаза;1.1.3.3.1.2.3.2.4.1.3.;;;;;;
авиабомба;1.1.3.2.4.1.4.2.;;;;;;
авиавокзал;1.1.3.3.1.2.3.2.4.1.2.;;;;;;
авиагавань;1.1.3.3.1.2.3.2.4.1.2.;;;;;;
авиадиспетчер;1.1.1.2.1.1.1.2.4.2.7.2.1.1.2.2.;;;;;;
авиалайнер;1.1.3.2.5.2.2.2.2.;;;;;;
авиамоделизм;1.2.1.6.4.4.1.2.4.7.1.;;;;;;
авиамоделист;1.1.1.2.1.1.1.2.4.2.8.1.2.1.1.;;;;;;
авиамодель;1.1.3.2.11.1.2.2.;;;;;;
авиамолелистка;1.1.1.2.1.1.1.2.4.2.8.1.2.1.1.;;;;;;
авианосец;1.1.3.2.5.4.4.;;;;;;
авиапассажир;1.1.1.2.1.1.1.2.4.2.7.2.3.;;;;;;
авиапассажирка;1.1.1.2.1.1.1.2.4.2.7.2.3.;;;;;;
авиапочта;1.1.3.2.10.4.1.;;;;;;
авиасалон;1.1.3.3.1.2.6.2.;;;;;;
авиаспорт;1.2.1.6.4.4.1.2.4.7.1.;;;;;;
авиастроение;1.2.1.5.2.1.2.1.3.3.;;;;;;
авиастроитель;1.1.1.2.1.1.1.2.4.2.7.1.2.1.1.;;;;;;
авиатехник;1.1.1.2.1.1.1.2.4.2.7.2.1.1.2.2.;;;;;;
авиатор;1.1.1.2.1.1.1.2.4.2.4.3.4.2.;1.1.1.2.1.1.1.2.4.2.7.2.1.1.2.1.;;;;;
авиаторша;1.1.1.2.1.1.1.2.4.2.7.2.1.1.2.1.;;;;;;
авиатранспорт;1.1.3.2.5.2.2.2.1.;;;;;;
авиация;1.1.3.2.5.2.2.2.1.;1.1.3.3.2.1.2.;;;;;
авиация;1.2.1.5.2.1.2.1.3.3.;;;;;;
авизо;1.1.3.2.10.2.3.;;;;;;
ависта;1.1.3.2.10.2.1.2.;;;;;;
