word,code,full_code
абстрагировать,2.3.2.1,2.3.2.1.2.1.
абстрагироваться,2.3.2.1,2.3.2.1.2.1.
алкать,2.3.2.3,2.3.2.3.3.
ассигновать,2.3.2.3,2.3.2.3.1.4.
ассоциировать,2.3.2.1,2.3.2.1.2.1.
балдеть,2.3.2.2,2.3.2.2.4.2.2.
бесить,2.3.2.2,2.3.2.2.2.3.6.2.
беситься,2.3.2.2,2.3.2.2.2.3.7.1.
беспокоить,2.3.2.2,2.3.2.2.2.3.5.2.
беспокоиться,2.3.2.2,2.3.2.2.2.3.5.1.
благоволить,2.3.2.2,2.3.2.2.2.2.3.1.1.
благоговеть,2.3.2.2,2.3.2.2.2.2.2.1.
благословить,2.3.2.3,2.3.2.3.1.7.1.
блаженствовать,2.3.2.2,2.3.2.2.3.1.1.
блуждать,2.3.2.1,2.3.2.1.2.3.
боготворить,2.3.2.2,2.3.2.2.2.2.2.1.
болеть,2.3.2.1,2.3.2.1.4.2.
болеть,2.3.2.2,2.3.2.2.2.3.5.1.
бояться,2.3.2.1,2.3.2.1.2.5.
бояться,2.3.2.2,2.3.2.2.2.3.5.1.
браться,2.3.2.3,2.3.2.3.1.4.
бредить,2.3.2.1,2.3.2.1.2.4.2.
брезгать,2.3.2.2,2.3.2.2.2.3.2.1.
бродить,2.3.2.1,2.3.2.1.2.3.
будить,2.3.2.2,2.3.2.2.2.1.1.2.
будоражить,2.3.2.2,2.3.2.2.2.3.5.2.
валить,2.3.2.3,2.3.2.3.1.5.
вверить,2.3.2.3,2.3.2.3.1.5.
вдохновить,2.3.2.2,2.3.2.2.2.2.1.2.
вдохновить,2.3.2.3,2.3.2.3.2.1.
вдохновиться,2.3.2.2,2.3.2.2.2.1.1.1.
вдохнуть,2.3.2.2,2.3.2.2.2.1.1.2.
вдуматься,2.3.2.1,2.3.2.1.2.2.
ведать,2.3.2.1,2.3.2.1.3.1.
ведать,2.3.2.1,2.3.2.1.3.2.
ведать,2.3.2.1,2.3.2.1.3.3.
велеть,2.3.2.3,2.3.2.3.1.1.
велеть,2.3.2.3,2.3.2.3.1.5.
верить,2.3.2.1,2.3.2.1.1.
верить,2.3.2.1,2.3.2.1.6.1.
верить,2.3.2.1,2.3.2.1.6.3.
вериться,2.3.2.1,2.3.2.1.6.1.
вернуть,2.3.2.3,2.3.2.3.1.3.
веровать,2.3.2.1,2.3.2.1.1.
веровать,2.3.2.1,2.3.2.1.6.1.
веселеть,2.3.2.2,2.3.2.2.4.3.
веселить,2.3.2.2,2.3.2.2.2.2.1.2.
веселиться,2.3.2.2,2.3.2.2.2.2.1.1.
взбелениться,2.3.2.2,2.3.2.2.2.3.7.1.
взвалить,2.3.2.3,2.3.2.3.1.5.
взвесить,2.3.2.1,2.3.2.1.2.2.
взвесить,2.3.2.1,2.3.2.1.2.6.
взвинтить,2.3.2.2,2.3.2.2.2.3.5.2.
взвиться,2.3.2.2,2.3.2.2.2.3.7.1.
взволноваться,2.3.2.2,2.3.2.2.2.1.1.1.
взглянуть,2.3.2.1,2.3.2.1.4.1.
вздумать,2.3.2.3,2.3.2.3.3.
вздуматься,2.3.2.3,2.3.2.3.3.
вздыхать,2.3.2.2,2.3.2.2.2.2.2.1.
вздыхать,2.3.2.2,2.3.2.2.3.4.1.
взирать,2.3.2.1,2.3.2.1.2.6.
взорвать,2.3.2.2,2.3.2.2.2.3.7.2.
взорваться,2.3.2.2,2.3.2.2.2.3.7.1.
взыграть,2.3.2.2,2.3.2.2.2.1.1.1.
видеть,2.3.2.1,2.3.2.1.2.1.
видеть,2.3.2.1,2.3.2.1.2.4.2.
видеть,2.3.2.1,2.3.2.1.3.1.
видеться,2.3.2.1,2.3.2.1.2.4.1.
видеться,2.3.2.1,2.3.2.1.2.5.
витать,2.3.2.1,2.3.2.1.2.4.2.
влечь,2.3.2.1,2.3.2.1.4.2.
влюбить,2.3.2.2,2.3.2.2.2.2.2.2.
влюбиться,2.3.2.2,2.3.2.2.2.2.2.1.
вникнуть,2.3.2.1,2.3.2.1.2.2.
вникнуть,2.3.2.1,2.3.2.1.3.3.
внушить,2.3.2.3,2.3.2.3.2.2.
внять,2.3.2.1,2.3.2.1.3.3.
вогнать,2.3.2.3,2.3.2.3.1.2.2.
вожделеть,2.3.2.3,2.3.2.3.3.
возбудить,2.3.2.2,2.3.2.2.2.1.1.2.
возбуждаться,2.3.2.2,2.3.2.2.2.1.1.1.
возвратить,2.3.2.3,2.3.2.3.1.3.
возгореться,2.3.2.2,2.3.2.2.2.1.1.1.
воздействовать,2.3.2.3,2.3.2.3.2.2.
воздержаться,2.3.2.3,2.3.2.3.1.8.
