,word,code,full_code,cluster
0,абстрагировать,2.3.2.1,2.3.2.1.2.1.,1
1,абстрагироваться,2.3.2.1,2.3.2.1.2.1.,1
2,алкать,2.3.2.3,2.3.2.3.3.,1
3,ассигновать,2.3.2.3,2.3.2.3.1.4.,3
4,ассоциировать,2.3.2.1,2.3.2.1.2.1.,3
5,балдеть,2.3.2.2,2.3.2.2.4.2.2.,1
6,бесить,2.3.2.2,2.3.2.2.2.3.6.2.,1
7,беситься,2.3.2.2,2.3.2.2.2.3.7.1.,1
8,беспокоить,2.3.2.2,2.3.2.2.2.3.5.2.,1
9,беспокоиться,2.3.2.2,2.3.2.2.2.3.5.1.,1
10,благоволить,2.3.2.2,2.3.2.2.2.2.3.1.1.,1
11,благоговеть,2.3.2.2,2.3.2.2.2.2.2.1.,1
12,благословить,2.3.2.3,2.3.2.3.1.7.1.,1
13,блаженствовать,2.3.2.2,2.3.2.2.3.1.1.,1
14,блуждать,2.3.2.1,2.3.2.1.2.3.,1
15,боготворить,2.3.2.2,2.3.2.2.2.2.2.1.,1
16,болеть,2.3.2.1,2.3.2.1.4.2.,1
17,болеть,2.3.2.2,2.3.2.2.2.3.5.1.,1
18,бояться,2.3.2.1,2.3.2.1.2.5.,1
19,бояться,2.3.2.2,2.3.2.2.2.3.5.1.,1
20,браться,2.3.2.3,2.3.2.3.1.4.,0
21,бредить,2.3.2.1,2.3.2.1.2.4.2.,1
22,брезгать,2.3.2.2,2.3.2.2.2.3.2.1.,1
23,бродить,2.3.2.1,2.3.2.1.2.3.,0
24,будить,2.3.2.2,2.3.2.2.2.1.1.2.,1
25,будоражить,2.3.2.2,2.3.2.2.2.3.5.2.,1
26,валить,2.3.2.3,2.3.2.3.1.5.,0
27,вверить,2.3.2.3,2.3.2.3.1.5.,1
28,вдохновить,2.3.2.2,2.3.2.2.2.2.1.2.,3
29,вдохновить,2.3.2.3,2.3.2.3.2.1.,3
30,вдохновиться,2.3.2.2,2.3.2.2.2.1.1.1.,1
31,вдохнуть,2.3.2.2,2.3.2.2.2.1.1.2.,1
32,вдуматься,2.3.2.1,2.3.2.1.2.2.,5
33,ведать,2.3.2.1,2.3.2.1.3.1.,1
34,ведать,2.3.2.1,2.3.2.1.3.2.,1
35,ведать,2.3.2.1,2.3.2.1.3.3.,1
36,велеть,2.3.2.3,2.3.2.3.1.1.,1
37,велеть,2.3.2.3,2.3.2.3.1.5.,1
38,верить,2.3.2.1,2.3.2.1.1.,5
39,верить,2.3.2.1,2.3.2.1.6.1.,5
40,верить,2.3.2.1,2.3.2.1.6.3.,5
41,вериться,2.3.2.1,2.3.2.1.6.1.,1
42,вернуть,2.3.2.3,2.3.2.3.1.3.,0
43,веровать,2.3.2.1,2.3.2.1.1.,1
44,веровать,2.3.2.1,2.3.2.1.6.1.,1
45,веселеть,2.3.2.2,2.3.2.2.4.3.,1
46,веселить,2.3.2.2,2.3.2.2.2.2.1.2.,1
47,веселиться,2.3.2.2,2.3.2.2.2.2.1.1.,1
48,взбелениться,2.3.2.2,2.3.2.2.2.3.7.1.,1
49,взвалить,2.3.2.3,2.3.2.3.1.5.,0
50,взвесить,2.3.2.1,2.3.2.1.2.2.,3
51,взвесить,2.3.2.1,2.3.2.1.2.6.,3
52,взвинтить,2.3.2.2,2.3.2.2.2.3.5.2.,1
53,взвиться,2.3.2.2,2.3.2.2.2.3.7.1.,0
54,взволноваться,2.3.2.2,2.3.2.2.2.1.1.1.,1
55,взглянуть,2.3.2.1,2.3.2.1.4.1.,5
56,вздумать,2.3.2.3,2.3.2.3.3.,1
57,вздуматься,2.3.2.3,2.3.2.3.3.,1
58,вздыхать,2.3.2.2,2.3.2.2.2.2.2.1.,1
59,вздыхать,2.3.2.2,2.3.2.2.3.4.1.,1
60,взирать,2.3.2.1,2.3.2.1.2.6.,1
61,взорвать,2.3.2.2,2.3.2.2.2.3.7.2.,0
